AHBG,Hamburg-Hausbruch DB-Grenze,Hmb-Hausbr DB-Gr,,
AHBI,Hamburg-Billwerder,Hmb-Billwerder,,
AHBIA,Hamburg-Billwerder-Moorfleet (Abzw),Billwerder-Moorf,,
AHBIU,Hamburg-Billwerder Ubf,Hmb-Billwerd Ubf,,
AHBIX,Hamburg-Billwerder ESTW-UZ,Hmb-Billw ESTW,,
AHBK,Hollenbek,Hollenbek,,
AHBR,Hamburg-Hausbruch,Hmb-Hausbruch,,
AHBRM,Hamburg-Hausbruch Mitte,Hausbruch Mitte,,
AHBRS,Hamburg-Hausbruch (S-Bahn),Hmb-Hausbruch SB,,
AHBS,Hamburg Süd,Hamburg Süd,,
AHBSP,Hamburg Süd Peute,Peute,,
AHBT,Hamburg Berliner Tor (Üst),Hmb-Berliner Tor,,
AHCH,Hamburg Hoheneichen,Hoheneichen,,
AHDG,Hamburg Süd DB-Grenze,Hmb Süd DB-Gr,,
AHDH,Heudorf-Hüttendorf,Heudorf-Hüttendf,,
AHDN,Heidenau (Kr.Harburg),Heidenau (Harb),,
AHDT,Hattstedt,Hattstedt,,
AHE,Hemmingstedt,Hemmingstedt,,
AHEL,Heeslingen,Heeslingen,,
AHEM,Hemmoor,Hemmoor,,
AHEN,Hechthausen,Hechthausen,,
AHER,Heringsdorf (Holst),Heringsdorf(Hol),,
AHES,Holm-Seppensen,Holm-Seppensen,,
AHFD,Harsefeld,Harsefeld,,
AHFS,Hamburg-Heimfeld,Heimfeld,,
AHGLF,Helgoland Flughafen,Helgoland Flugh,,
AHGLK,Helgoland (Südhafen) Katamaran,Helgoland Kat,,
AHGLR,Helgoland (Reede),Helgoland(Reede),,
AHGLS,Helgoland (Südhafen),Helgoland(Südhf),,
AHGN,Hagen (Kr Stade),Hagen (Kr Stade),,
AHH,Hörnum (Sylt) Hafen,Hörnum(Sylt)Hf,,
AHH M,Hörnum (Sylt) Mitte,Hörnum(Sylt)Mitt,,
AHH N,Hörnum (Sylt) Nord,Hörnum(Sylt)Nord,,
AHH S,Hörnum (Sylt),Hörnum (Sylt),,
AHH T,Hörnum (Sylt) Steintal,Hörnum(Sylt)Sttl,,
AHHO,Hallig Hooge,Hallig Hooge,,
AHHW,Hamburg Holstenhofweg,Holstenhofweg,,
AHI,Heide (Holst),Heide (Holst),,
AHIF,Hittfeld,Hittfeld,,
AHIH,Heide (Holst) Halligweg,Heide Halligw,,
AHIK,Heide (Holst) Klaus-Harms-Straße,Heide K-H-S,,
AHIN,Hindenburgdamm,Hindenburgdamm,,
AHKM,Hamburger Kinderheim (Sylt),Hambger Kinderhm,,
AHKS,Halstenbek,Halstenbek,,
AHKU,Heidekultur,Heidekultur,,
AHLA,Hallig Langeneß,Hallig Langeneß,,
AHLF,Haslohfurth,Haslohfurth,,
AHLH,Hasloh,Hasloh,,
AHM,Husum,Husum,,
AHM A,Husum Außenhafen,Husum Außenhafen,,
AHM B,Husum Bahnhof,Husum Bahnhof,,
AHM D,Husum Nord,Husum Nord,,
AHM N,Husum Nordstrand,Husum Nordstrand,,
AHM S,Husum Schobüller Straße,Husum Schobü,,
AHM Z,Husum ZOB,Husum ZOB,,
AHMX,Husum ESTW-Z,Husum ESTW,,
AHNS,Heiligenstedten,Heiligenstedten,,
AHNU,Hademarschen,Hademarschen,,
AHO,Hamburg Unterelbe Seehafen,Hmb U-elbe See,,
AHOD,Hochdonn,Hochdonn,,
AHOE,Hörn,Hörn,,
AHOF,Hesedorf,Hesedorf,,
AHOG,Horneburg,Horneburg,,
AHOL,Hollenstedt,Hollenstedt,,
AHOR,Hamburg-Horn,Horn,,
AHOS,Hamburg Hohe Schaar,Hmb Hohe Schaar,,
AHOSS,Hamburg Hohe Schaar Süd,Hmb H Schaar Süd,,
AHOT,Horst in Holstein,Horst in Holst,,
AHOW,Hamburg Hörgensweg,Hörgensweg,,
AHPA,Hamburg Hafen,Hamburg Hafen,,
AHPD,Hepstedt,Hepstedt,,
AHPF,Himmelpforten,Himmelpforten,,
AHPS,Hamburg Hochkamp,Hochkamp,,
AHRF,Hamburg-Harburg Rathaus,Harburg Rathaus,,
AHRO,Hamburg-Rothenburgsort,Hmb-Rothburgsort,,
AHROF,Hamburg-Rothenburgsort Tk,Hmb-Roth Tk,,
AHROO,Hamburg-Rothenburgsort Ro,Hmb-Roth Ro,,
AHROP,Hamburg-Rothenburgsort Rop,Hmb-Roth Rop,,
AHRS,Hamburg-Harburg (S-Bahn),Harburg S-Bahn,,
AHRX,Hamburg-Rothenburgsort ESTW-UZ,Hmb-Rothbgo ESTW,,
AHS,Hamburg Hbf (S-Bahn),Hauptbahnhof SB,,
AHSB,Hamburg Hasselbrook (S-Bahn),Hasselbr S-Bahn,,
AHSBQ,Hamburg Hasselbrook SBahn Bedienstandort,Hasselbr SB BSO,,
AHSBQ,Hamburg Hasselbrook SBahn Bedienstandort,Hasselbr SB BSO,,
AHSD,Harsefeld Süd,Harsefeld Süd,,
AHSF,Hamburg Hasselbrook,Hasselbrook,,
AHSG,Hasselburg,Hasselburg,,
AHSH,Hamburg Holstenstraße H,Holstenstr H,,
AHSM,Hamburg Stellmoor (Fernbahn),Stellmoor Fernb,,
AHSO,Hamburg Holstenstraße D,Holstenstr D,,
AHST,Hamburg Holstenstraße,Holstenstr,,
AHTB,Hüttenbusch,Hüttenbusch,,
AHWA,Heinschenwalde,Heinschenwalde,,
AHWH,Herwigshof,Herwigshof,,
AHWT,Hohenwestedt,Hohenwestedt,,
AHX,Hamburg Hbf ESTW-ZE,Hamburg Hbf ZE,,
AHX,Hamburg Hbf ESTW-ZE,Hamburg Hbf ZE,,
AHZ,Hitzacker,Hitzacker,,
AHZH,Herzhorn,Herzhorn,,
AIS,Hamburg-Iserbrook,Iserbrook,,
